codigo_catmat,descricao_produto,unidade_apresentacao,fabricante_id,generico,registro_anvisa,mes_compra,uf,modalidade_compra,faixa_quantidade,registros,instituicoes,fornecedores,minimo,p25,mediana,p75,maximo,razao_max_min,ponderado,menor_quantidade,maior_quantidade,valor_total
308882,"SULFAMETOXAZOL, COMPOSIÇÃO:ASSOCIADO À TRIMETOPRIMA, CONCENTRAÇÃO:400MG + 80MG",COMPRIMIDO,73856593000166,S,1256802090013,2021-04,PB,PREGÃO,03: >1.000–10.000,5,5,4,0.002,0.11,0.15,0.2,0.27,135.0,0.13939520333680916,2000.0,10000.0,5347.2
267516,"ATENOLOL, DOSAGEM:25 MG",COMPRIMIDO,73856593000166,S,1256801460011,2021-04,PI,PREGÃO,04: >10.000–100.000,5,4,5,0.0012,0.03,0.07,0.08,0.16,133.33333333333334,0.06136969696969696,12000.0,43250.0,6581.9
267517,"ATENOLOL, DOSAGEM:50 MG",COMPRIMIDO,73856593000166,S,1256801460054,2021-04,PI,PREGÃO,04: >10.000–100.000,5,4,5,0.0016,0.05,0.1,0.13,0.16,100.0,0.08385185185185186,15000.0,65000.0,13584.0
268214,"ATROPINA SULFATO, DOSAGEM:0,25 MG/ML, USO:SOLUÇÃO INJETÁVEL","AMPOLA 1,00 ML",06628333000146,N,1108500170026,2023-03,PR,PREGÃO,02: >100–1.000,5,5,5,0.7985,0.97,1.3041,1.88,2.5,3.1308703819661865,1.582290909090909,200.0,300.0,1740.52
273710,"NIMESULIDA, DOSAGEM:100 MG",COMPRIMIDO,02814497000107,S,1438101770039,2020-11,PR,PREGÃO,04: >10.000–100.000,5,5,4,0.05,0.056,0.06,0.0649,0.15,2.9999999999999996,0.06532182182182182,20000.0,64800.0,13051.3
271746,"BACLOFENO, CONCENTRAÇÃO:10 MG",COMPRIMIDO,17159229000176,S,1037006130016,2020-08,SP,PREGÃO,03: >1.000–10.000,6,6,4,0.107,0.1217,0.1909,0.2302,0.29,2.710280373831776,0.15738014042126378,2250.0,10000.0,4707.24
271746,"BACLOFENO, CONCENTRAÇÃO:10 MG",COMPRIMIDO,17159229000176,S,1037006130016,2021-10,SP,PREGÃO,03: >1.000–10.000,5,4,5,0.14,0.1799,0.2,0.25,0.37,2.642857142857143,0.1901998831775701,1080.0,6000.0,3256.222
267671,"GLIBENCLAMIDA, DOSAGEM:5 MG",COMPRIMIDO,03485572000104,S,1542302120036,2021-04,PI,PREGÃO,04: >10.000–100.000,6,6,5,0.04,0.055,0.075,0.08,0.09,2.25,0.06502127659574468,20000.0,90000.0,19100.0
267666,"FUROSEMIDA, COMPOSIÇÃO:10 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL","AMPOLA 2,00 ML",17159229000176,S,1037002770037,2021-03,PR,PREGÃO,02: >100–1.000,5,5,3,0.49,0.49,0.5,0.53,0.9858,2.0118367346938775,0.5546181818181819,200.0,1000.0,1220.16
272198,"ETILEFRINA CLORIDRATO, COMPOSIÇÃO:10MG/ML, APRESENTAÇÃO:INJETÁVEL","AMPOLA 1,00 ML",60665981000118,N,1049712200019,2020-08,PR,PREGÃO,02: >100–1.000,5,5,4,1.11,1.15,1.3,1.68,2.21,1.9909909909909909,1.515,150.0,1000.0,3333.0
273256,"OXCARBAZEPINA, DOSAGEM:600 MG",COMPRIMIDO,73663650000190,S,1235202110071,2021-06,SP,PREGÃO,03: >1.000–10.000,5,4,3,1.09,1.2,1.25,1.53,2.062,1.8917431192660548,1.3704682779456194,2500.0,7500.0,36290.0
268069,"CLORPROMAZINA, DOSAGEM:5 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL","AMPOLA 5,00 ML",17174657000178,S,1038700640031,2020-03,PE,PREGÃO,02: >100–1.000,5,4,4,0.97,1.28,1.38,1.39,1.73,1.7835051546391754,1.3771929824561404,120.0,700.0,3140.0
267653,"ESPIRONOLACTONA, DOSAGEM:25 MG",COMPRIMIDO,57507378000365,S,1023506320019,2023-02,PB,PREGÃO,03: >1.000–10.000,5,5,4,0.18,0.2,0.2,0.24,0.3,1.6666666666666667,0.22067539627842866,2520.0,10000.0,6404.0
