fabricante_id,fabricante,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
17875154000120,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,2086,22920162078.2901,804984480.0,415,350,28.472799970367255
05035244000123,SUN FARMACEUTICA DO BRASIL LTDA,708,15283016625.675,289628517.0,156,115,52.767651417677904
05399786000185,UNICHEM FARMACEUTICA DO BRASIL LTDA.,699,13503204299.9081,147592503.0,249,144,91.48977099404635
61190096000192,EUROFARMA LABORATORIOS S.A.,6843,5776156441.5362,732102084.0,588,633,7.8898237933935444
56994502000130,NOVARTIS BIOCIENCIAS SA,3665,4026310673.3332,234495424.0,389,410,17.170103384760292
60318797000100,ASTRAZENECA DO BRASIL LTDA.,1623,3659820167.6664,593284331.0,280,263,6.168745703257752
43940618000144,ELI LILLY DO BRASIL LTDA,627,3299587058.1616,4927031.0,122,110,669.6907444182106
51780468000187,JANSSEN-CILAG FARMACEUTICA LTDA,821,2305051666.8864,9505848.0,143,151,242.48774721480927
18774815000193,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,229,1725125825.7026,743888.0,58,40,2319.0666144669626
10588595001092,SANOFI MEDLEY FARMACEUTICA LTDA,3052,1587982628.4987,366308191.0,407,457,4.335099971866859
60659463002992,ACHE LABORATORIOS FARMACEUTICOS SA,3449,1510018897.8301,1054871498.0,447,429,1.4314718908350863
61072393000133,PFIZER BRASIL LTDA,574,1496532523.5881,9289809.0,146,144,161.09400350298912
73856593000166,"PRATI, DONADUZZI & CIA LTDA",24109,1483094348.6977,9145409109.0,716,779,0.1621681797961544
60831658000177,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.,1585,1447656415.0228,132625519.0,286,280,10.915368519860797
33247743000110,GLAXOSMITHKLINE BRASIL LTDA,1522,1410044909.6968,225010113.0,301,283,6.266584603229811
44734671000151,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,16916,1400199789.2753,2179667003.0,621,680,0.6423916072262988
07986222000174,BIOGEN BRASIL PRODUTOS FARMACEUTICOS LTDA,57,1377590675.5961,602289.0,20,13,2287.258567890332
33009945000123,PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S A,1165,1339219930.1814,123470043.0,248,174,10.846517079299957
57507378000365,EMS S/A,10828,1280280669.2048,2378642694.0,542,643,0.5382400107566554
60397775000174,TAKEDA PHARMA LTDA.,1148,1044029427.7493,29556319.0,268,222,35.32339151398725
82277955000155,NOVO NORDISK FARMACEUTICA DO BRASIL LTDA,1065,853018566.0381,23982013.0,164,160,35.56909780834911
31170914000124,MAYBEN PHARMACEUTICAL LTDA,208,807422485.796,3068810.0,90,68,263.1060527683369
58430828000160,BLAU FARMACEUTICA S.A.,4115,802190163.6767,135245313.0,486,536,5.9313712681244635
56998982000107,BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA.,158,793522577.1802,1347178.0,42,31,589.025783660511
61286647000116,SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA.,2714,688663799.3375,705297030.0,487,407,0.9764167011131466
03560974000118,MERCK SHARP & DOHME FARMACEUTICA LTDA.,306,653510703.049,6481898.0,98,100,100.8208865750433
17159229000176,LABORATORIO TEUTO BRASILEIRO S/A,13040,652492139.1953,2562728953.0,676,735,0.2546083300894833
60665981000118,UNIAO QUIMICA FARMACEUTICA NACIONAL S A,7514,640864442.9014,889735103.0,555,602,0.720286791810888
02881877000164,POLAR FIX INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA,665,628712418.416,7235000.0,127,174,86.898744770698
33069212000184,MERCK S/A,2739,615664802.1223,885249465.0,424,378,0.6954704029358549
11424477000110,LEO PHARMA LTDA,61,583899578.3777,642467277.0,27,25,0.9088394059604377
61282661000141,LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA,150,535460276.5721,37087067.0,43,55,14.437924588970597
56998701000116,ABBOTT LABORATORIOS DO BRASIL LTDA,2145,535234148.0238,742532534.0,354,262,0.720822487252525
18459628000115,BAYER S.A.,1010,531575990.9636,23398932.0,233,196,22.717959561727003
19570720000110,HIPOLABOR FARMACEUTICA LTDA,11584,521718489.5822,1920449101.0,571,669,0.2716648357462508
05823205000190,MAQUIRA INDUSTRIA DE PRODUTOS ODONTOLOGICOS S.A.,1506,490763362.2317,445674.0,134,155,1101.1711749657823
05439635000103,ANTIBIOTICOS DO BRASIL LTDA.,1237,411061232.9433,235322909.0,322,273,1.7467964963126477
43640754000119,FUNDACAO PARA O REMEDIO POPULAR FURP,232,407251657.321,1711188041.0,76,93,0.23799351536082877
06628333000146,FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA,8521,390661306.3855,724033546.0,672,585,0.5395624395357781
04301884000175,AUROBINDO PHARMA INDUSTRIA FARMACEUTICA LIMITADA,528,375051356.3076,82542515.0,219,158,4.543735507787714
02501297000102,PHARLAB INDUSTRIA FARMACEUTICA S.A,4307,357141195.5689,587586830.0,557,511,0.60781007560857
02814497000107,CIMED INDUSTRIA S.A.,6747,350227038.9283,3808369792.0,577,463,0.09196245586865007
05161069000110,BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A.,4151,348795699.2438,4979982221.0,538,466,0.07003954708371639
00923140000131,EMS SIGMA PHARMA LTDA,1551,346494453.1654,309007058.0,340,342,1.121315659933567
55980684000127,ADIUM S.A.,544,345130653.7561,19448825.0,122,124,17.74557865352277
17174657000178,HYPOFARMA INSTITUTO DE HYPODERMIA E FARMACIA LTDA,5937,340152080.0134,313610257.0,592,537,1.0846331471020734
61363032000146,CHIESI FARMACEUTICA LTDA,897,337504864.7132,52102238.0,240,200,6.477742179005823
45992062000165,GERMED FARMACEUTICA LTDA,1845,330532368.9293,288569247.0,352,376,1.1454178585055532
73663650000190,RANBAXY FARMACEUTICA LTDA,3632,326951219.6107,893263426.0,458,343,0.36601881381707885
