ano_compra,cnpj_instituicao,uf,esfera,data_compra,data_insercao,validade_compra,codigo_catmat,descricao_produto,codigo_pdm,codigo_grupo,grupo,codigo_classe,classe,generico,tipo_compra,unidade_medida,cnpj_fornecedor,fornecedor,cnpj_fabricante,fabricante,quantidade,observacao,instituicao,municipio,unidade_apresentacao,pdm,numero_processo,numero_ata,unidade_fornecimento,registro_anvisa,modalidade_compra,capacidade_informada,preco_unitario,preco_total,id_bps,flag_invalido_quantidade,flag_invalido_preco_unitario,flag_invalido_preco_total,flag_invalido_capacidade_informada,flag_invalido_data_compra,flag_invalido_data_insercao,flag_formato_cnpj_instituicao,flag_formato_cnpj_fornecedor,flag_formato_cnpj_fabricante,ano_arquivo,arquivo_origem,linha_origem,registro_id,instituicao_id,fornecedor_id,fabricante_id,municipio_uf,produto,mes_compra,trimestre_compra,flag_ano_data_divergente,flag_data_futura,flag_insercao_anterior_compra,preco_total_calculado,diferenca_total,flag_total_divergente,flag_quantidade_nao_positiva,flag_preco_negativo,flag_total_negativo,faixa_quantidade,elegivel_preco,flag_duplicado_id_bps,flag_duplicado_exato,flag_possivel_duplicado_negocio
2025,76416866000140,PR,ESTADUAL,2025-12-01,2026-02-05,12,272815,"PENICILAMINA, DOSAGEM:250 MG",10621,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,,11697594000310,AGILLE COMERCIO DE MEDICAMENTOS LTDA,17875154000120,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,77500.0,"Registro de Preços, pelo período de 1 (um) ano, podendo ser prorrogado por igual período, desde que comprovado o preço vantajoso, para futura e eventual aquisição de Medicamentos – CEAF 09",SECRETARIA DE ESTADO DA SAUDE,CURITIBA,CÁPSULA,PENICILAMINA,242049608,1349,CÁPSULA,1091701310013,PREGÃO,,294400.0,22816000000.0,15502366,0,0,0,0,0,0,0,0,0,2025,BPS_2025.csv,14183,2025:14183,76416866000140,11697594000310,17875154000120,CURITIBA / PR,"272815 | PENICILAMINA, DOSAGEM:250 MG",2025-12,2025Q4,0,0,0,22816000000.0,0.0,0,0,0,0,04: >10.000–100.000,1,0,0,0
2025,46374500026231,SP,ESTADUAL,2025-12-11,2026-03-21,12,305725,"OCTREOTIDA, DOSAGEM:0,1 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",10144,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,ML,05005873000100,PORTAL LTDA,05035244000123,SUN FARMACEUTICA DO BRASIL LTDA,28060.0,,SECRETARIA DE ESTADO DA SAUDE,SAO PAULO,"AMPOLA 1,00 ML",OCTREOTIDA,024.00102469/2025-61,PERP 008/2026,AMPOLA,1468200200046,PREGÃO,100.0,520000.0,14591200000.0,15622464,0,0,0,0,0,0,0,0,0,2025,BPS_2025.csv,25519,2025:25519,46374500026231,05005873000100,05035244000123,SAO PAULO / SP,"305725 | OCTREOTIDA, DOSAGEM:0,1 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",2025-12,2025Q4,0,0,0,14591200000.0,0.0,0,0,0,0,04: >10.000–100.000,1,0,0,0
2026,95422986000102,PR,MUNICIPAL,2026-06-24,2026-07-23,12,271089,"AMOXICILINA, CONCENTRAÇÃO:500MG",2436,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,S,ADMINISTRATIVA,,42227547000174,MED4 IMPORTADORA E DISTRIBUIDORA LTDA,05399786000185,UNICHEM FARMACEUTICA DO BRASIL LTDA.,261600.0,,MUNICIPIO DE FAZENDA RIO GRANDE,FAZENDA RIO GRANDE,CÁPSULA,AMOXICILINA,4/2026,2/2026,CÁPSULA,1564900030066,PREGÃO,,51038.16,13351582656.0,15569621,0,0,0,0,0,0,0,0,0,2026,BPS_2026.csv,6316,2026:6316,95422986000102,42227547000174,05399786000185,FAZENDA RIO GRANDE / PR,"271089 | AMOXICILINA, CONCENTRAÇÃO:500MG",2026-06,2026Q2,0,0,0,13351582656.0,0.0,0,0,0,0,05: >100.000,1,0,0,0
2025,46374500026231,SP,ESTADUAL,2025-01-08,2025-09-17,12,356051,"ÁCIDO ZOLEDRÔNICO, CONCENTRAÇÃO:50 MCG/ML, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL",13679,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,ML,27817504000155,SP HOSPITALAR LTDA,61190096000192,EUROFARMA LABORATORIOS S.A.,18657.0,,SECRETARIA DE ESTADO DA SAUDE,SAO PAULO,"BOLSA 100,00 ML",ÁCIDO ZOLEDRÔNICO,024.00126107/2024-85,PERP 158/2024,BOLSA,1004314180050,PREGÃO,10000.0,199000.0,3712743000.0,15516522,0,0,0,0,0,0,0,0,0,2025,BPS_2025.csv,15194,2025:15194,46374500026231,27817504000155,61190096000192,SAO PAULO / SP,"356051 | ÁCIDO ZOLEDRÔNICO, CONCENTRAÇÃO:50 MCG/ML, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL",2025-01,2025Q1,0,0,0,3712743000.0,0.0,0,0,0,0,04: >10.000–100.000,1,0,0,0
2026,13693153000103,RS,MUNICIPAL,2026-06-08,2026-06-22,12,271157,"INSULINA, ORIGEM:HUMANA, TIPO:NPH, DOSAGEM:100U/ML, APLICAÇÃO:INJETÁVEL",8428,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,,ADMINISTRATIVA,ML,47647493000110,G2 COMERCIO DE MEDICAMENTOS LTDA,43940618000144,ELI LILLY DO BRASIL LTDA,63200.0,,CONSORCIO PUBLICO DA ASSOCIACAO DOS MUNICIPIOS DA REGIAO METROPOLITANA DE PORTO ALEGRE - CP GRANPAL,PORTO ALEGRE,"FRASCO 10,00 ML",INSULINA,8,26,FRASCO,,REGISTRO DE PREÇOS,1000.0,45715.0,2889188000.0,15438036,0,0,0,0,0,0,0,0,0,2026,BPS_2026.csv,2595,2026:2595,13693153000103,47647493000110,43940618000144,PORTO ALEGRE / RS,"271157 | INSULINA, ORIGEM:HUMANA, TIPO:NPH, DOSAGEM:100U/ML, APLICAÇÃO:INJETÁVEL",2026-06,2026Q2,0,0,0,2889188000.0,0.0,0,0,0,0,04: >10.000–100.000,1,0,0,0
2024,42498717000155,RJ,ESTADUAL,2024-11-13,2025-03-17,12,606824,"TEZEPELUMABE, CONCENTRAÇÃO:110 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL, CARACTERÍSTICAS ADICIONAIS:SERINGA PREENCHIDA",30101,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,JUDICIAL,ML,60318797000100,ASTRAZENECA DO BRASIL LTDA.,60318797000100,ASTRAZENECA DO BRASIL LTDA.,203.0,,SECRETARIA DE ESTADO DE SAUDE - SES,RIO DE JANEIRO,"SERINGA 1,91 ML",TEZEPELUMABE,SEI0800010058682024,166/2024,SERINGA,1161802950020,PREGÃO,191.0,8191720.0,1662919160.0,15420860,0,0,0,0,0,0,0,0,0,2024,BPS_2024.csv,6743,2024:6743,42498717000155,60318797000100,60318797000100,RIO DE JANEIRO / RJ,"606824 | TEZEPELUMABE, CONCENTRAÇÃO:110 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL, CARACTERÍSTICAS ADICIONAIS:SERINGA PREENCHIDA",2024-11,2024Q4,0,0,0,1662919160.0,0.0,0,0,0,0,02: >100–1.000,1,0,0,0
2023,42498717000155,RJ,ESTADUAL,2023-06-05,2024-07-15,12,429724,"CARFILZOMIB, CONCENTRAÇÃO:60 MG, FORMA FARMACEUTICA:PÓ LIÓFILO P/ INJETÁVEL",1894,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,S,JUDICIAL,,10586940000168,ONCOVIT DISTRIBUIDORA DE MEDICAMENTOS LTDA,18774815000193,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,284.0,,SECRETARIA DE ESTADO DE SAUDE - SES,RIO DE JANEIRO,FRASCO-AMPOLA,CARFILZOMIB,SEI-080017/006240/21,217/2023,FRASCO-AMPOLA,1024400100013,PREGÃO,,4804290.0,1364418360.0,15396593,0,0,0,0,0,0,0,0,0,2023,BPS_2023.csv,5834,2023:5834,42498717000155,10586940000168,18774815000193,RIO DE JANEIRO / RJ,"429724 | CARFILZOMIB, CONCENTRAÇÃO:60 MG, FORMA FARMACEUTICA:PÓ LIÓFILO P/ INJETÁVEL",2023-06,2023Q2,0,0,0,1364418360.0,0.0,0,0,0,0,02: >100–1.000,1,0,0,0
2024,46523015000135,SP,MUNICIPAL,2024-01-29,2024-09-23,12,403131,"BUDESONIDA, CONCENTRAÇÃO:50 MCG/DOSE, FORMA FARMACÊUTICA:SUSPENSÃO AQUOSA NASAL, CARACTERÍSTICA ADICIONAL:FRASCO COM VÁLVULA DOSIFICADORA",3946,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,ADMINISTRATIVA,DOSES,04274988000138,ATIVA COMERCIAL HOSPITALAR LTDA,61190096000192,EUROFARMA LABORATORIOS S.A.,40000.0,,MUNICIPIO DE BARUERI,BARUERI,"FRASCO 200,00 DOSES",BUDESONIDA,121/2024,sim,FRASCO,1004300360061,PREGÃO,20000.0,23980.0,959200000.0,15667361,0,0,0,0,0,0,0,0,0,2024,BPS_2024.csv,25922,2024:25922,46523015000135,04274988000138,61190096000192,BARUERI / SP,"403131 | BUDESONIDA, CONCENTRAÇÃO:50 MCG/DOSE, FORMA FARMACÊUTICA:SUSPENSÃO AQUOSA NASAL, CARACTERÍSTICA ADICIONAL:FRASCO COM VÁLVULA DOSIFICADORA",2024-01,2024Q1,0,0,0,959200000.0,0.0,0,0,0,0,04: >10.000–100.000,1,0,0,0
2026,07662324000134,RS,MUNICIPAL,2026-01-02,2026-03-24,12,270895,"CARBONATO DE CÁLCIO, DOSAGEM:500MG DE CÁLCIO",15870,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,,ADMINISTRATIVA,,00802002000102,ALTERMED MATERIAL MEDICO HOSPITALAR LTDA,31170914000124,MAYBEN PHARMACEUTICAL LTDA,699.0,,CONSORCIO INTERMUNICIPAL DO VALE DO RIO CAI (CIS-CAI),MONTENEGRO,COMPRIMIDO,CARBONATO DE CÁLCIO,89/2025,15/2025,COMPRIMIDO,,PREGÃO,,1149000.0,803151000.0,15456203,0,0,0,0,0,0,0,0,0,2026,BPS_2026.csv,3046,2026:3046,07662324000134,00802002000102,31170914000124,MONTENEGRO / RS,"270895 | CARBONATO DE CÁLCIO, DOSAGEM:500MG DE CÁLCIO",2026-01,2026Q1,0,0,0,803151000.0,0.0,0,0,0,0,02: >100–1.000,1,0,0,0
2024,42498717000155,RJ,ESTADUAL,2024-11-25,2025-03-18,12,439259,"AXITINIBE, CONCENTRAÇÃO:5 MG",19480,65,"Equipamentos e artigos para uso médico, dentário e veterinario",6505,DROGAS E MEDICAMENTOS,N,JUDICIAL,,02424344000153,DISTRIBUICAO DE MEDICAMENTOS PAMED LTDA,61072393000133,PFIZER BRASIL LTDA,2820.0,,SECRETARIA DE ESTADO DE SAUDE - SES,RIO DE JANEIRO,COMPRIMIDO,AXITINIBE,SEI0800010147562024,172/2024,COMPRIMIDO,1211004520045,PREGÃO,,253090.0,713713800.0,15403609,0,0,0,0,0,0,0,0,0,2024,BPS_2024.csv,5307,2024:5307,42498717000155,02424344000153,61072393000133,RIO DE JANEIRO / RJ,"439259 | AXITINIBE, CONCENTRAÇÃO:5 MG",2024-11,2024Q4,0,0,0,713713800.0,0.0,0,0,0,0,03: >1.000–10.000,1,0,0,0
