modalidade_compra,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
PREGÃO,332545,106186732019.8733,58049185307.0,822,3248,1.8292544754640774
REGISTRO DE PREÇOS,18165,6807235365.8701,4980916342.0,79,805,1.366663260025117
DISPENSA DE LICITAÇÃO,13618,1916975019.7498,1731304508.0,215,1130,1.1072431284570998
INEXIGIBILIDADE DE LICITAÇÃO,417,188530676.2682,13667584.0,36,93,13.794001651513538
TOMADA DE PREÇOS,1864,10592943.179,14311462.0,27,127,0.7401719809618332
CONCORRÊNCIA,710,6007919.4242,7037571.0,12,37,0.8536921935423458
CONCURSO,194,2637445.6,5277970.0,1,9,0.4997083348332787
LEILÃO,54,2002841.4845,9191181.0,7,14,0.21790904612802206
CONVITE,70,749631.34,104841.0,7,29,7.150173500825058
DIÁLOGO COMPETITIVO,1,15228.0,10800.0,1,1,1.41

