municipio_uf,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
SAO PAULO / SP,5417,39107257165.8948,16984999770.0,3,291,2.30245850429557
CURITIBA / PR,6055,28036644859.5501,7464167475.0,9,336,3.7561650315931714
FAZENDA RIO GRANDE / PR,1195,13466421078.4356,51964898.0,1,153,259.1445686747158
FORTALEZA / CE,210,5349159929.5988,726451176.0,2,85,7.363412857354642
RIO DE JANEIRO / RJ,1075,5078689924.3246,223938381.0,2,156,22.67896151452752
PORTO ALEGRE / RS,2123,4303699228.9457,9765715866.0,3,200,0.4406947005215787
FLORIANOPOLIS / SC,6702,1802862321.6307,5368369644.0,4,123,0.33583051115820295
PENEDO / AL,2682,1702674891.511,2839653347.0,1,155,0.5996066010345311
SALVADOR / BA,1258,1509316037.61,408837660.0,2,136,3.691724577452087
BARUERI / SP,1105,1121400309.396,424667950.0,1,110,2.6406520892287726
VITORIA / ES,2083,1046556985.9897,2741670795.0,2,184,0.3817223380350083
MONTENEGRO / RS,580,836923341.8859,131111045.0,1,37,6.383316843259849
GOIANIA / GO,419,793448667.31,133116741.0,1,43,5.960547571623617
MARINGA / PR,2655,784706920.0563,398725478.0,2,245,1.9680380696823694
JOAO PESSOA / PB,717,716205628.683,5913076.0,1,93,121.12234456025932
ITAPETININGA / SP,1709,646364940.3904,385084116.0,1,153,1.6785032504181503
RECIFE / PE,996,579464365.9002,226756643.0,3,127,2.555446042214516
CAMPO GRANDE / MS,1003,520507212.8868,13734381.0,4,138,37.89811953569659
PALMAS / TO,2474,471266859.61,77217965.0,1,196,6.1030727708247685
PRESIDENTE PRUDENTE / SP,2734,385398346.49,690325457.0,2,94,0.5582849981584845
VACARIA / RS,1383,351044474.4752,144997369.0,1,66,2.421040305049949
AMPARO DE SAO FRANCISCO / SE,2591,338614775.4335,553024610.0,1,218,0.6122960340472009
ARACAJU / SE,5480,323489595.688,708741407.0,2,569,0.45642824377551855
MAUA / SP,727,255988578.7714,204117041.0,1,118,1.2541264439131272
PORTO VELHO / RO,1692,241088528.69,124780491.0,2,239,1.932101138230014
ITIRAPUA / SP,505,184356297.095,249061793.0,1,51,0.7402030430857776
IVINHEMA / MS,1410,148313661.82,6092418.0,1,80,24.343973414168232
ANCHIETA / ES,1275,146669561.785,48356110.0,1,82,3.0331133291118744
IJUI / RS,1589,117165951.0779,473052460.0,1,70,0.24768067177559971
LAJEADO / RS,1465,107370892.363,376091225.0,1,68,0.28549161805888984
CASCAVEL / PR,1714,103643603.7795,309020421.0,1,180,0.3353940281490329
ASSIS / SP,824,94749717.629,243977253.0,1,46,0.3883547194008287
CAXIAS DO SUL / RS,1683,93489279.178,196826997.0,1,174,0.47498199232293326
BAURU / SP,1594,90078621.6752,321408508.0,3,151,0.28026209460267304
NOVA IGUACU / RJ,574,85698966.22,71755281.0,2,42,1.194322773539135
JI-PARANA / RO,1154,84853053.03,65195819.0,3,129,1.3015106540804404
JARU / RO,3247,80768059.57,34910451.0,1,192,2.313578233921985
VILHENA / RO,960,80541699.48,25827346.0,1,100,3.118465965492544
ITAI / SP,2442,79668462.3328,88573828.0,1,89,0.8994582726265371
UBERLANDIA / MG,559,79351572.9859,251604096.0,2,142,0.3153826755900667
SOBRADINHO / RS,721,76625453.864,1865533580.0,1,27,0.04107428281403543
PONTA GROSSA / PR,2396,76059274.2532,127677092.0,2,248,0.5957159037832722
COTIA / SP,974,69959314.193,82628063.0,1,12,0.846677407807563
BLUMENAU / SC,948,68703516.86,485793153.0,1,67,0.14142545327311354
ITAGUAI / RJ,1794,62494172.768,82846469.0,1,145,0.7543371917033663
ATIBAIA / SP,1011,60075757.1,167174128.0,1,112,0.3593603736338915
MARABA / PA,1974,58373351.505,73355387.0,1,131,0.7957609371619838
CAMPO DO BRITO / SE,456,56798701.36,658968102.0,1,57,0.08619340023836237
OLHO D`AGUA / PB,568,48136510.664,67939389.0,1,8,0.7085213949156945
TEIXEIRA DE FREITAS / BA,752,46706324.806,51697244.0,1,90,0.9034586989975714
GUARARAPES / SP,914,46163373.8125,2271219.0,1,47,20.325373208175876
SAO JOSE DOS PINHAIS / PR,800,45622212.35,156363641.0,1,98,0.29176995405217
VIANA / ES,280,43783005.5,303163750.0,1,52,0.14442031905199748
UBATUBA / SP,1759,43052142.46,87239640.0,1,159,0.49349289451446615
COSTA MARQUES / RO,239,42306205.35,31341066.0,1,27,1.349864913656734
SANANDUVA / RS,638,40588987.0972,106544225.0,1,44,0.3809590533621132
CIANORTE / PR,2003,38535309.322,183278534.0,1,132,0.2102554428005191
SALTO / SP,1543,37515552.4544,51913802.0,1,105,0.7226508367543568
IPOJUCA / PE,1264,35926392.12,70871821.0,1,110,0.5069206860086183
MONTE ALTO / SP,2321,35124128.0638,65563154.0,1,99,0.5357296884130986
CORUMBA / MS,400,34645777.1,81546700.0,1,23,0.4248581132038452
TRES LAGOAS / MS,1085,33767305.7522,104293144.0,1,64,0.3237730157238332
BOA VISTA / RR,240,32785142.39,57149733.0,1,42,0.5736709634321476
MACAE / RJ,472,32502146.0513,14942987.0,2,123,2.1750769140935478
CANOINHAS / SC,785,31795941.391,114281570.0,2,42,0.2782245762899477
RIO GRANDE / RS,614,31615540.103,90300059.0,1,94,0.3501164944200092
SERRA / ES,378,30698319.5855,143942590.0,1,63,0.21326780062454065
SANTANA DE PARNAIBA / SP,466,30670950.016,70571984.0,1,67,0.4346051829292485
GUAXUPE / MG,1602,30332679.1687,81564596.0,1,84,0.37188536026954633
