codigo_catmat,descricao_produto,unidade_apresentacao,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
272815,"PENICILAMINA, DOSAGEM:250 MG",CÁPSULA,18,22863108461.824,1798470.0,8,5,12712.532575925092
305725,"OCTREOTIDA, DOSAGEM:0,1 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL","AMPOLA 1,00 ML",30,14601913459.803,271097.0,15,18,53862.32034955385
271089,"AMOXICILINA, CONCENTRAÇÃO:500MG",CÁPSULA,831,13417956117.4058,344317846.0,401,262,38.969679536755116
356051,"ÁCIDO ZOLEDRÔNICO, CONCENTRAÇÃO:50 MCG/ML, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL","BOLSA 100,00 ML",12,3722639085.47,98250.0,7,9,37889.45634066158
271157,"INSULINA, ORIGEM:HUMANA, TIPO:NPH, DOSAGEM:100U/ML, APLICAÇÃO:INJETÁVEL","FRASCO 10,00 ML",147,2909587444.0935,912031.0,91,87,3190.2286699613283
606824,"TEZEPELUMABE, CONCENTRAÇÃO:110 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL, CARACTERÍSTICAS ADICIONAIS:SERINGA PREENCHIDA","SERINGA 1,91 ML",13,1673028109.39,1488.0,7,2,1124346.8477083335
429724,"CARFILZOMIB, CONCENTRAÇÃO:60 MG, FORMA FARMACEUTICA:PÓ LIÓFILO P/ INJETÁVEL",FRASCO-AMPOLA,13,1380290896.1201,4645.0,7,4,297156.27472983854
439252,"NUSINERSENA, CONCENTRAÇÃO:2,4 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL","FRASCO 5,00 ML",12,1271712474.886,4081.0,6,5,311617.8571149228
432908,"DAPAGLIFLOZINA, CONCENTRAÇÃO:10 MG",COMPRIMIDO,247,1084870569.794,511209490.0,121,90,2.1221643788224664
403131,"BUDESONIDA, CONCENTRAÇÃO:50 MCG/DOSE, FORMA FARMACÊUTICA:SUSPENSÃO AQUOSA NASAL, CARACTERÍSTICA ADICIONAL:FRASCO COM VÁLVULA DOSIFICADORA","FRASCO 200,00 DOSES",61,989271233.9684,104751870.0,32,22,9.443948198427389
270895,"CARBONATO DE CÁLCIO, DOSAGEM:500MG DE CÁLCIO",COMPRIMIDO,217,831246327.6716,78498040.0,123,78,10.589389590766853
436345,"NINTEDANIBE, COMPOSIÇÃO:SAL ESILATO, CONCENTRAÇÃO:150 MG",CÁPSULA,87,750074380.088,3457690.0,35,35,216.92933145770732
439259,"AXITINIBE, CONCENTRAÇÃO:5 MG",COMPRIMIDO,18,721213967.68,30280.0,10,13,23818.16273712021
387340,"FORMOTEROL FUMARATO, COMPOSIÇÃO:ASSOCIADO COM BUDESONIDA, CONCENTRAÇÃO:12 MCG + 400MCG/DOSE, FORMA FARMACÊUTICA:CÁPSULA PÓ INALANTE, CARACTERÍSTICAS ADICIONAIS:COM FRASCO INALADOR",CÁPSULA,88,632886734.4423,540024489.0,53,51,1.1719593228341538
269979,"COMPRESSA GAZE, MATERIAL:TECIDO 100% ALGODÃO, TIPO:11 FIOS/CM2, MODELO:COR BRANCA,ISENTA DE IMPUREZAS, CAMADAS:8 CAMADAS, LARGURA:7,50 CM, COMPRIMENTO:7,50 CM, DOBRAS:5 DOBRAS, CARACTERÍSTICAS ADICIONAIS:ESTÉRIL,DESCARTÁVEL","PACOTE 5,00 UN",4,622736110.0,6401000.0,2,4,97.28731604436807
332849,"CALCIPOTRIOL, DOSAGEM:50 MCG/G, USO:POMADA","BISNAGA 30,00 G",22,579937889.0681,639427667.0,10,8,0.9069640226688845
440269,"PEMBROLIZUMABE, CONCENTRAÇÃO:25 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",FRASCO-AMPOLA,40,570270896.35,37921.0,17,17,15038.39287861607
400563,"USTEQUINUMABE, CONCENTRAÇÃO:90 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL","SERINGA 1,00 ML",11,559913382.1,24405.0,5,3,22942.568412210614
410020,"ELTROMBOPAG OLAMINA, CONCENTRAÇÃO:50 MG",COMPRIMIDO,34,548002180.7,2143702.0,18,18,255.63356320048217
412830,"BRENTUXIMABE VEDOTINA, CONCENTRAÇÃO:50 MG, FORMA FARMACÊUTICA:PÓ LIÓFILO P/ INJETÁVEL",FRASCO-AMPOLA,28,546370142.06,36720.0,12,12,14879.361167211327
452740,"OMALIZUMABE, CONCENTRAÇÃO:150 MG, FORMA FARMACÊUTICA:INJETÁVEL","SERINGA 1,00 ML",21,528133316.48,432614.0,12,11,1220.7957127601048
404846,"SOMATROPINA, COMPOSIÇÃO:SOMATOTROFINA HUMANA RECOMBINANTE, CONCENTRAÇÃO:12 UI, FORMA FARMACEUTICA:PÓ LIÓFILO P/ INJETÁVEL + DILUENTE",FRASCO-AMPOLA,29,526478582.05,30746680.0,17,7,17.123103439135544
