codigo_catmat,descricao_produto,unidade_apresentacao,quantidade,valor
404992,"DIETA ENTERAL, ASPECTO FÍSICO:LÍQUIDO, USO:ENTERAL OU ORAL, CARACTERÍSTICAS:HIPERCALÓRICA,NORMOPROTEICA, FONTE DE PROTEÍNA:CASEINATO E/OU PTN SOJA E/OU SORO LEITE, FONTE DE CARBOIDRATO:MALTODEXTRINA, FONTE DE LIPÍDIOS:ÓLEOS VEG.E/OU TCM E/OU LEC.SOJA, COMPONENTES ADICIONAIS:AA'S,VIT.,MINERAIS, CARACTERÍSTICAS ADICIONAIS:ISENTO GLÚTEN,LACT.,SACAROSE, SABOR:C/ OU S/ SABOR",MILILITRO,4357306650.0,54596071.0
267512,"AMITRIPTILINA CLORIDRATO, DOSAGEM:25 MG",COMPRIMIDO,3217330905.0,135618374.3435
268856,"LOSARTANA POTÁSSICA, DOSAGEM:50 MG",COMPRIMIDO,2214267060.0,135912425.2931
267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO,1843561372.0,47894917.6978
435227,"DIETA ENTERAL, ASPECTO FÍSICO:LÍQUIDO, USO:ENTERAL OU ORAL, CARACTERÍSTICAS:HIPERCALÓRICA, NORMOPROTEICA E NORMOLIPÍDICA, FONTE DE PROTEÍNA:CASEINATO E PTN ISOLADA SOJA, FONTE DE CARBOIDRATO:MALTODEXTRINA E SACAROSE, FONTE DE LIPÍDIOS:ÓLEOS VEGETAIS, COMPONENTES ADICIONAIS:AA'S,VIT.,MINERAIS, CARACTERÍSTICAS ADICIONAIS:ISENTA LACTOSE E GLÚTEN, SABOR:C/SABOR",MILILITRO,1438409000.0,35759588.0
267712,"OMEPRAZOL, CONCENTRAÇÃO:20 MG",CÁPSULA,1392818821.0,138232696.169
267691,"METFORMINA CLORIDRATO, DOSAGEM:850 MG",COMPRIMIDO,1350594620.0,117813095.4971
267502,"ÁCIDO ACETILSALICÍLICO, DOSAGEM:100 MG",COMPRIMIDO,1247525113.0,45947853.6917
272434,"ANLODIPINO BESILATO, DOSAGEM:5 MG",COMPRIMIDO,1243154026.0,34557187.1654
267203,"DIPIRONA SÓDICA, DOSAGEM:500 MG",COMPRIMIDO,1212937400.0,137033513.6506
267747,"SINVASTATINA, DOSAGEM:20 MG",COMPRIMIDO,1100729363.0,73719594.5949
268106,"GABAPENTINA, DOSAGEM:400 MG",CÁPSULA,1009208126.0,320412803.696
267618,"CARBAMAZEPINA, DOSAGEM:200 MG",COMPRIMIDO,982951602.0,155200495.5883
272365,"SERTRALINA CLORIDRATO, DOSAGEM:50MG",COMPRIMIDO,888739179.0,88026465.8112
294887,"SALBUTAMOL, DOSAGEM:100MCG/DOSE, FORMA FARMACÊUTICA:AEROSOL ORAL","FRASCO 200,00 DOSES",858049198.0,202806107.4173
474455,"DIETA ENTERAL, ASPECTO FÍSICO:LÍQUIDO, USO:ENTERAL OU ORAL, CARACTERÍSTICAS:NORMOCALÓRICA,NORMOPROTEÍCA, FONTE DE PROTEÍNA:PTN ISOLADA SOJA, FONTE DE CARBOIDRATO:MALTODEXTRINA, FONTE DE LIPÍDIOS:ÓLEOS VEG.E/OU TCM E/OU LEC.SOJA, COMPONENTES ADICIONAIS:VITAMINAS E MINERAIS, CARACTERÍSTICAS ADICIONAIS:ISENTO GLÚTEN E/OU LACTOSE, SABOR:C/SABOR",MILILITRO,836982000.0,9863844.0
270119,"CLONAZEPAM, DOSAGEM:2 MG",COMPRIMIDO,772936362.0,39515675.9467
273009,"FLUOXETINA, DOSAGEM:20 MG",CÁPSULA,769618268.0,52894797.6028
267651,"ENALAPRIL MALEATO, DOSAGEM:10 MG",COMPRIMIDO,715942617.0,24162922.1119
267613,"CAPTOPRIL, CONCENTRAÇÃO:25 MG",COMPRIMIDO,679093259.0,20847358.299

