uf,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
PR,79136,42955942581.1114,9643479992.0,175,1257,4.454402624026453
SP,64571,42745917684.7318,21242256806.0,114,1064,2.012305852203894
RS,23917,6208871088.9458,14150213255.0,52,639,0.4387828633431998
CE,5127,5396969234.8201,739166588.0,11,144,7.301424770054812
RJ,8178,5342023005.3317,504880581.0,23,482,10.58076544507007
SC,11503,1940847107.0139,6160672820.0,15,214,0.31503817256990774
AL,12364,1784509491.1457,3068271545.0,34,300,0.5816008997162276
BA,2640,1565931261.066,487985207.0,10,225,3.208972810247504
ES,10203,1366827763.8143,3662583076.0,34,456,0.3731868289270444
PB,23424,858388923.5353,251711254.0,72,270,3.4102127334175534
GO,945,801733573.49,149134545.0,5,82,5.3759078655451695
MS,9763,787873939.9997,330024473.0,30,315,2.3873197427988924
SE,15554,771683521.5045,2065048484.0,28,715,0.37368784679076816
RO,37187,746046460.5209,476423486.0,68,777,1.565931324638559
PE,19465,737967141.379,646350931.0,45,382,1.1417437586687718
TO,2930,472580691.4384,77831401.0,3,201,6.07185127553338
MG,12179,237661201.7275,508763465.0,28,392,0.46713496168106333
PA,13077,217839648.1649,352821725.0,29,269,0.6174213001336581
PI,13483,62971869.205,108700543.0,66,53,0.5793151300541342
RR,240,32785142.39,57149733.0,1,42,0.5736709634321476
MT,282,30049283.6032,38698764.0,3,44,0.7764920761603652
MA,36,27798302.74,1377174.0,1,16,20.18503307497818
AC,776,25997485.7,84765712.0,3,18,0.3066981340285327
RN,658,2262687.41,2696006.0,4,34,0.8392738777287588

