fabricante_id,fabricante,ocorrencias,rotulo
00008125000168,MENUCHI ACABAMENTO DE PLASTICOS INDUSTRIA COM LTDA,9,MENUCHI ACABAMENTO DE PL [M0001]
00008354000182,BIOSENSOR INDUSTRIA E COMERCIO LTDA,6,BIOSENSOR INDUSTRIA E CO [M0002]
00015955000112,SDI BRASIL INDUSTRIA E COMERCIO LTDA,86,SDI BRASIL INDUSTRIA E C [M0003]
00023851000150,A. L. B. LUZ,1,A. L. B. LUZ [M0004]
00025310000160,FARMAQUI INDUSTRIA E COMERCIO LTDA,22,FARMAQUI INDUSTRIA E COM [M0005]
00028682000140,PROMEDON DO BRASIL PRODUTOS MEDICO HOSPITALARES LTDA,8,PROMEDON DO BRASIL PRODU [M0006]
00029372000140,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,58,GE HEALTHCARE DO BRASIL  [M0007]
00029372000221,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,2,GE HEALTHCARE DO BRASIL  [M0008]
00072182000106,ROSSI PRODUTOS HOSPITALARES LTDA,2,ROSSI PRODUTOS HOSPITALA [M0009]
00075112000101,REYMER DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA,45,REYMER DO BRASIL INDUSTR [M0010]
00098242000160,PRONTOFAR LTDA,3,PRONTOFAR LTDA [M0011]
00099817000169,RABBIT INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE PESSOAL LTDA,3,RABBIT INDUSTRIA E COMER [M0012]
00129149000256,MIYUKI INDUSTRIA E COMERCIO DE COSMETICOS LTDA,6,MIYUKI INDUSTRIA E COMER [M0013]
00133418000177,IBRAMED INDUSTRIA BRASILEIRA DE EQUIPAMENTOS MEDICOS LTDA,21,IBRAMED INDUSTRIA BRASIL [M0014]
00150371000150,LODERME FARMACIA DE MANIPULACAO LTDA,7,LODERME FARMACIA DE MANI [M0015]
00157774000554,TARGA MEDICAL S.A.,193,TARGA MEDICAL S.A. [M0016]
00165933000139,DESCARTEX CONFECCOES E COMERCIO LTDA,19,DESCARTEX CONFECCOES E C [M0017]
00171138000153,AQUAFLEX INDUSTRIA E COMERCIO LTDA,1,AQUAFLEX INDUSTRIA E COM [M0018]
00192190000196,OFTALMOPHARMA INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,44,OFTALMOPHARMA INDUSTRIA  [M0019]
00217622000176,LATINA ELETRODOMESTICOS S/A FALIDO,2,LATINA ELETRODOMESTICOS  [M0020]
00252903000160,ESTERILI MED INDUSTRIA E COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA,47,ESTERILI MED INDUSTRIA E [M0021]
00256343000111,NAVI COMERCIO E INDUSTRIA DE CONCENTRADO MULTIUSO LTDA,1,NAVI COMERCIO E INDUSTRI [M0022]
00257992000137,ANGELUS INDUSTRIA DE PRODUTOS ODONTOLOGICOS S/A,221,ANGELUS INDUSTRIA DE PRO [M0023]
00260485000152,LUIZ FERNANDO ZIMER LTDA,3,LUIZ FERNANDO ZIMER LTDA [M0024]
00317372000146,GALDERMA BRASIL LTDA,38,GALDERMA BRASIL LTDA [M0025]
00317372000499,GALDERMA BRASIL LTDA,13,GALDERMA BRASIL LTDA [M0026]
00319979000165,SULPACK INDUSTRIA DE MAQUINAS PARA EMBALAGENS LTDA,2,SULPACK INDUSTRIA DE MAQ [M0027]
00322352000163,DPCBRASIL INDUSTRIA E COMERCIO LTDA,40,DPCBRASIL INDUSTRIA E CO [M0028]
00325031000112,KOTA IMPORTS LTDA,14,KOTA IMPORTS LTDA [M0029]
00331788000119,AIR LIQUIDE BRASIL LTDA,3,AIR LIQUIDE BRASIL LTDA [M0030]
00332257000140,E. DE GODOY BRAGANCA TEXTIL,50,E. DE GODOY BRAGANCA TEX [M0031]
00376959000126,IFAL IND E COM DE PRODUTOS FARMACEUTICOS LTDA,711,IFAL IND E COM DE PRODUT [M0032]
00377455000120,IDEXX BRASIL LABORATORIOS LTDA.,1,IDEXX BRASIL LABORATORIO [M0033]
00380573000198,BELTEC - INDUSTRIA E COMERCIO DE EQUIPAMENTOS ODONTOLOGICOS LTDA,2,BELTEC - INDUSTRIA E COM [M0034]
00382468000198,COLGATE-PALMOLIVE COMERCIAL LTDA.,5,COLGATE-PALMOLIVE COMERC [M0035]
00394452000103,COMANDO DO EXERCITO,8,COMANDO DO EXERCITO [M0036]
00394502007157,COMANDO DA MARINHA,8,COMANDO DA MARINHA [M0037]
00406859000103,AGAPLASTIC INDUSTRIA E COMERCIO LTDA,9,AGAPLASTIC INDUSTRIA E C [M0038]
00412880000103,EMBALI INDUSTRIAS PLASTICAS LTDA,2,EMBALI INDUSTRIAS PLASTI [M0039]
00413538000128,ORTO CENTRAL INDUSTRIA E COMERCIO DE PRODUTOS DE ORTODONTIA LTDA,15,ORTO CENTRAL INDUSTRIA E [M0040]
00413925000164,COLBRAS INDUSTRIA E COMERCIO LTDA,107,COLBRAS INDUSTRIA E COME [M0041]
00424413000101,DESKARPLAS INDUSTRIA E COMERCIO LTDA,9,DESKARPLAS INDUSTRIA E C [M0042]
00424745000188,TECPON INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA,1,TECPON INDUSTRIA E COMER [M0043]
00425586000136,G D RUFINO LTDA,3,G D RUFINO LTDA [M0044]
00433726000118,PROINLAB - INDUSTRIA E COMERCIO DE PRODUTOS PARA LABORATORIOS LTDA,12,PROINLAB - INDUSTRIA E C [M0045]
00542467000163,A B DESCARTAVEIS INDUSTRIA E COMERCIO LTDA,1,A B DESCARTAVEIS INDUSTR [M0046]
00546993000100,MEDICAL DEVICE PRODUTOS E MATERIAIS HOSPITALARES LTDA,7,MEDICAL DEVICE PRODUTOS  [M0047]
00562583000144,RENYLAB - QUIMICA E FARMACEUTICA LTDA,84,RENYLAB - QUIMICA E FARM [M0048]
00592933000115,ZEDAMED LTDA,3,ZEDAMED LTDA [M0049]
00618346000158,ASSEPTICO PRODUTOS DESCARTAVEIS LTDA,3,ASSEPTICO PRODUTOS DESCA [M0050]
00625692000163,TOMMASI IMPORTACAO E EXPORTACAO LTDA.,3,TOMMASI IMPORTACAO E EXP [M0051]
00626948000157,HANESBRANDS BRASIL TEXTIL LTDA.,5,HANESBRANDS BRASIL TEXTI [M0052]
00647935000164,MASTER DIAGNOSTICA PRODUTOS LABORATORIAIS E HOSPITALARES LTDA.,14,MASTER DIAGNOSTICA PRODU [M0053]
00659050000185,CENTER MED COMERCIAL LTDA,7,CENTER MED COMERCIAL LTD [M0054]
00662798000137,VITAL ATMAN LTDA,73,VITAL ATMAN LTDA [M0055]
00671994000178,GIROGAZ COMERCIAL DE OXIGENIO LTDA,4,GIROGAZ COMERCIAL DE OXI [M0056]
00677858000195,ARTE NATIVA PRODUTOS NATURAIS LTDA,161,ARTE NATIVA PRODUTOS NAT [M0057]
00678593000140,STERIFARMA PRODUTOS CIRURGICOS LTDA,5,STERIFARMA PRODUTOS CIRU [M0058]
00681314000105,ORTOMED HOSPITALAR INDUSTRIA E COMERCIO LTDA,1,ORTOMED HOSPITALAR INDUS [M0059]
00681516000149,FRALDAS CK INDUSTRIA E COMERCIO LTDA,14,FRALDAS CK INDUSTRIA E C [M0060]
