fornecedor_id,fornecedor,ocorrencias,rotulo
00028682000140,PROMEDON DO BRASIL PRODUTOS MEDICO HOSPITALARES LTDA,7,PROMEDON DO BRASIL PRODU [F0001]
00029372000140,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,2,GE HEALTHCARE DO BRASIL  [F0002]
00029372000736,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,5,GE HEALTHCARE DO BRASIL  [F0003]
00059062000179,CRYSSIL FORNECEDORA DE MATERIAIS E SERVICOS ESPECIALIZADOSLTDA,1,CRYSSIL FORNECEDORA DE M [F0004]
00064780000133,HS MED COMERCIO DE ARTIGOS HOSPITALARES LTDA,317,HS MED COMERCIO DE ARTIG [F0005]
00072182000106,ROSSI PRODUTOS HOSPITALARES LTDA,74,ROSSI PRODUTOS HOSPITALA [F0006]
00085822000112,ESPECIFARMA COM DE MEDICAMENTOS E PRO HOSPITALARES LTDA,176,ESPECIFARMA COM DE MEDIC [F0007]
00088317000121,VICTORIA COMERCIO DE PRODUTOS HOSPITALARES LTDA,294,VICTORIA COMERCIO DE PRO [F0008]
00097489000161,L A VIDAL IMPORTACAO E EXPORTACAO LTDA.,16,L A VIDAL IMPORTACAO E E [F0009]
00098242000160,PRONTOFAR LTDA,4,PRONTOFAR LTDA [F0010]
00150371000150,LODERME FARMACIA DE MANIPULACAO LTDA,8,LODERME FARMACIA DE MANI [F0011]
00156820000177,HOSPMED LTDA,83,HOSPMED LTDA [F0012]
00174282000143,ODONTO TCHE - COMERCIO DE PRODUTOS E EQUIPAMENTOS ODONTOLOGICOS LTDA,1,ODONTO TCHE - COMERCIO D [F0013]
00175233000125,TRES LEOES MATERIAL HOSPITALAR LTDA,90,TRES LEOES MATERIAL HOSP [F0014]
00192190000196,OFTALMOPHARMA INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,12,OFTALMOPHARMA INDUSTRIA  [F0015]
00203590000150,SIDD COMERCIAL DISTRIBUIDORA DE MEDICAMENTOS LTDA,31,SIDD COMERCIAL DISTRIBUI [F0016]
00236193000184,CIRURGICA RECIFE COMERCIO E REPRESENTACOES LTDA,827,CIRURGICA RECIFE COMERCI [F0017]
00331788001271,AIR LIQUIDE BRASIL LTDA,1,AIR LIQUIDE BRASIL LTDA [F0018]
00331788001603,AIR LIQUIDE BRASIL LTDA,4,AIR LIQUIDE BRASIL LTDA [F0019]
00331788002910,AIR LIQUIDE BRASIL LTDA,1,AIR LIQUIDE BRASIL LTDA [F0020]
00339246000192,LONDRICIR COMERCIO DE MATERIAL HOSPITALAR LTDA,100,LONDRICIR COMERCIO DE MA [F0021]
00358519000146,"RCC - DISTRIBUIDORA DE MEDICAMENTOS, CORRELATOS E PRODUTOS MEDICOS E HOSPITALARES LTDA",133,RCC - DISTRIBUIDORA DE M [F0022]
00376959000126,IFAL IND E COM DE PRODUTOS FARMACEUTICOS LTDA,26,IFAL IND E COM DE PRODUT [F0023]
00411441000186,MK PRODUTOS MEDICO HOSPITALARES LTDA,5,MK PRODUTOS MEDICO HOSPI [F0024]
00447821003005,DROGARIA ROSARIO S/A,7,DROGARIA ROSARIO S/A [F0025]
00453515000147,FARMACIA GINAP LTDA,2,FARMACIA GINAP LTDA [F0026]
00463305000130,MARCHET DE SA BARRETO CALLOU,1,MARCHET DE SA BARRETO CA [F0027]
00467916000156,MAJ LAB - COMERCIO E MANUTENCAO DE EQUIPAMENTOS PARA LABORATORIO LTDA,12,MAJ LAB - COMERCIO E MAN [F0028]
00468680000172,LABOTEK COMERCIO E DISTRIBUICAO DE PRODUTOS HOSPITALARES LTDA,25,LABOTEK COMERCIO E DISTR [F0029]
00512932000113,QUALYS DIAGNOSTICOS COMERCIO LTDA.,1,QUALYS DIAGNOSTICOS COME [F0030]
00535560000140,LPK LTDA,2,LPK LTDA [F0031]
00535818000109,M MARCHIORE COMERCIAL FARMACEUTICA LTDA,2,M MARCHIORE COMERCIAL FA [F0032]
00542467000163,A B DESCARTAVEIS INDUSTRIA E COMERCIO LTDA,1,A B DESCARTAVEIS INDUSTR [F0033]
00545222000190,PROFARM COMERCIO DE MEDICAMENTOS E MATERIAL HOSPITALAR LTDA,1327,PROFARM COMERCIO DE MEDI [F0034]
00562583000144,RENYLAB - QUIMICA E FARMACEUTICA LTDA,12,RENYLAB - QUIMICA E FARM [F0035]
00596529000110,GENETICA COMERCIO IMPORTACAO E EXPORTACAO LTDA,4,GENETICA COMERCIO IMPORT [F0036]
00647694000153,R N F DE SOUZA & CIA LTDA,369,R N F DE SOUZA & CIA LTD [F0037]
00656468000139,SOMA/PR COMERCIO DE PRODUTOS HOSPITALARES LTDA,1996,SOMA/PR COMERCIO DE PROD [F0038]
00659050000185,CENTER MED COMERCIAL LTDA,388,CENTER MED COMERCIAL LTD [F0039]
00671994000178,GIROGAZ COMERCIAL DE OXIGENIO LTDA,5,GIROGAZ COMERCIAL DE OXI [F0040]
00683826000100,BIONEFRO COMERCIO DE MATERIAL HOSPITALAR LTDA,11,BIONEFRO COMERCIO DE MAT [F0041]
00691555000127,DECIO CAMARGO - PRODUTOS E EQUIPAMENTOS LABORATORIAIS LTDA.,3,DECIO CAMARGO - PRODUTOS [F0042]
00733472000153,DINAMICA MERCANTIL LTDA,39,DINAMICA MERCANTIL LTDA [F0043]
00735260000105,MED-SURGERY HOSPITALAR LTDA,3,MED-SURGERY HOSPITALAR L [F0044]
00740696000192,PMH PRODUTOS MEDICOS HOSPITALARES LTDA,1,PMH PRODUTOS MEDICOS HOS [F0045]
00744718000192,EDISON LUIZ SCHONHORST,2,EDISON LUIZ SCHONHORST [F0046]
00749145000190,FDA ALLERGENIC FARMACEUTICA LTDA,1,FDA ALLERGENIC FARMACEUT [F0047]
00787540000167,VERBENNA FARMACIA DE MANIPULACAO LTDA,1,VERBENNA FARMACIA DE MAN [F0048]
00795813000115,ALEANDRO GONCALVES PASSARINHO,1,ALEANDRO GONCALVES PASSA [F0049]
00799666000151,BRASFARMA COMERCIO DE MEDICAMENTOS LTDA,34,BRASFARMA COMERCIO DE ME [F0050]
00802002000102,ALTERMED MATERIAL MEDICO HOSPITALAR LTDA,6022,ALTERMED MATERIAL MEDICO [F0051]
00809672000142,FARMALIBRA COMERCIO DE PRODUTOS HOSPITALARES LTDA,105,FARMALIBRA COMERCIO DE P [F0052]
00826788000190,PEDS TREINAMENTOS E ASSESSORIA EMPRESARIAL LTDA,5,PEDS TREINAMENTOS E ASSE [F0053]
