instituicao_id,instituicao,ocorrencias,rotulo
00136858000188,CONSORCIO INTERMUNICIPAL DE SAUDE,33,CONSORCIO INTERMUNICIPAL [I0001]
00204125000133,SECRETARIA MUNICIPAL DE SAUDE,249,SECRETARIA MUNICIPAL DE  [I0002]
00333678000196,CONSORCIO INTERMUNICIPAL DE SAUDE DO SUDOESTE - CONSUD,125,CONSORCIO INTERMUNICIPAL [I0003]
00394429000968,COMANDO DA AERONAUTICA,2,COMANDO DA AERONAUTICA [I0004]
00394544004334,MINISTERIO DA SAUDE,1,MINISTERIO DA SAUDE [I0005]
00394544017150,MINISTERIO DA SAUDE,1,MINISTERIO DA SAUDE [I0006]
00562279000105,FUNDO MUNICIPAL DE SAUDE,154,FUNDO MUNICIPAL DE SAUDE [I0007]
00733062000102,FUNDO ESTADUAL DE SAUDE,828,FUNDO ESTADUAL DE SAUDE [I0008]
00772500000141,MUNICIPIO DE SOCORRO DO PIAUI - SECRETARIA MUNICIPAL DE SAUDE,317,MUNICIPIO DE SOCORRO DO  [I0009]
00843130000196,MUNICIPIO DE OEIRAS - SECRETARIA DE SAUDE,741,MUNICIPIO DE OEIRAS - SE [I0010]
00955107000193,FUNDACAO MUNICIPAL DE SAUDE DE RIO CLARO,12,FUNDACAO MUNICIPAL DE SA [I0011]
01266058000144,MUNICIPIO DE BURITIS,116,MUNICIPIO DE BURITIS [I0012]
01391942000100,FUNDO MUNICIPAL DE SAUDE DE PRAINHA,186,FUNDO MUNICIPAL DE SAUDE [I0013]
01572597000101,MUNICIPIO DE TRABIJU,423,MUNICIPIO DE TRABIJU [I0014]
01576782000174,MUNICIPIO DE PRATANIA,89,MUNICIPIO DE PRATANIA [I0015]
01592473000198,MUNICIPIO DE PIMENTEIRAS DO OESTE,338,MUNICIPIO DE PIMENTEIRAS [I0016]
01596018000160,MUNICIPIO DE TAMANDARE,647,MUNICIPIO DE TAMANDARE [I0017]
01610390000184,MUNICIPIO DE TAQUARAL,328,MUNICIPIO DE TAQUARAL [I0018]
01612155000141,MUNICIPIO DE SOORETAMA,37,MUNICIPIO DE SOORETAMA [I0019]
01612372000131,MUNICIPIO DE CURRAL DE CIMA,129,MUNICIPIO DE CURRAL DE C [I0020]
01612453000131,MUNICIPIO DE ARIRANHA DO IVAI,43,MUNICIPIO DE ARIRANHA DO [I0021]
01612553000168,MUNICIPIO DE SOBRADO,7,MUNICIPIO DE SOBRADO [I0022]
01612566000137,MUNICIPIO DE BOQUEIRAO DO PIAUI,71,MUNICIPIO DE BOQUEIRAO D [I0023]
01612618000175,MUNICIPIO DE CAXINGO,54,MUNICIPIO DE CAXINGO [I0024]
01612770000158,MUNICIPIO DE RIACHAO,192,MUNICIPIO DE RIACHAO [I0025]
01613167000190,MUNICIPIO DE TAMARANA,1494,MUNICIPIO DE TAMARANA [I0026]
01613513000130,MUNICIPIO DE PORTO ALEGRE DO PIAUI,382,MUNICIPIO DE PORTO ALEGR [I0027]
01616458000132,MUNICIPIO DE SAO JOSE DA BARRA,647,MUNICIPIO DE SAO JOSE DA [I0028]
01680880000157,MUNICIPIO DE SAO JOSE DO PEIXE - SECRETARIA DE SAUDE,107,MUNICIPIO DE SAO JOSE DO [I0029]
01693184000185,SECRETARIA MUNICIPAL DE SAUDE E SANEAMENTO,693,SECRETARIA MUNICIPAL DE  [I0030]
01742695000140,MUNICIPIO DE NOVA SANTA RITA - SECRETARIA DE SAUDE,175,MUNICIPIO DE NOVA SANTA  [I0031]
01753396000100,FUNDO MUNICIPAL DE SAUDE - PREFEITURA MUNICIPAL DE PIRA,11,FUNDO MUNICIPAL DE SAUDE [I0032]
01753843000121,MUNICIPIO DE FLORESTA DO PIAUI - SECRETARIA DE SAUDE,119,MUNICIPIO DE FLORESTA DO [I0033]
01761198000199,MUNICIPIO DE LUZILANDIA - SECRETARIA MUNICIPAL DE SAUDE,7,MUNICIPIO DE LUZILANDIA  [I0034]
01825779000147,MUNICIPIO DE NAZARE DO PIAUI - SECRETARIA DE SAUDE,139,MUNICIPIO DE NAZARE DO P [I0035]
01825794000195,MUNICIPIO DE JARDIM DO MULATO- SECRETARIA MUNICIPAL DE SAUDE,84,MUNICIPIO DE JARDIM DO M [I0036]
02049227000157,CIMCERO - CONSORCIO INTERMUNICIPAL DA REGIAO CENTRO LESTE DO ESTADO DE RONDONIA,120,CIMCERO - CONSORCIO INTE [I0037]
02125685000128,HOSPITAL REGIONAL DE MATO GROSSO DO SUL ROSA PEDROSSIAN,1,HOSPITAL REGIONAL DE MAT [I0038]
02165050000154,MUNICIPIO DE JOAQUIM PIRES - FUNDO MUNICIPAL DE SAUDE,209,MUNICIPIO DE JOAQUIM PIR [I0039]
02231696000192,CONSORCIO INTERMUNICIPAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL-CISA,1589,CONSORCIO INTERMUNICIPAL [I0040]
02236721000120,CONSORCIO PUBLICO DA REGIAO NOROESTE - CIM NOROESTE,268,CONSORCIO PUBLICO DA REG [I0041]
02304966000148,MUNICIPIO DE PARNAGUA - SECRETARIA DE SAUDE,5,MUNICIPIO DE PARNAGUA -  [I0042]
02321216000184,MUNICIPIO DE SAO JOAO DA VARJOTA - SECRETARIA DE SAUDE,129,MUNICIPIO DE SAO JOAO DA [I0043]
02344726000177,"MUNICIPIO DE VILA NOVA DO PIAUI - SECRETARIA DE SAUDE, SANEAMENTO E MEIO AMBIENTE",270,MUNICIPIO DE VILA NOVA D [I0044]
02361201000140,MUNICIPIO DE BARRAS - SECRETARIA MUNICIPAL DE SAUDE,64,MUNICIPIO DE BARRAS - SE [I0045]
02401609000106,"MUNICIPIO DE SAO JULIAO - SECRETARIA DE SAUDE, SANEAMENTO E MEIO AMBIENTE",86,MUNICIPIO DE SAO JULIAO  [I0046]
02406316000103,MUNICIPIO DE JATOBA DO PIAUI- SEC.MUNICIPAL DE SAUDE E VIG.SANITARIA,50,MUNICIPIO DE JATOBA DO P [I0047]
02419781000189,MUNICIPIO DE PORTO - SECRETARIA MUNICIPAL DE SAUDE,257,MUNICIPIO DE PORTO - SEC [I0048]
02433931000109,MUNICIPIO DE PAULISTANA - SECRETARIA DE SAUDE E MEIO AMBIENTE,137,MUNICIPIO DE PAULISTANA  [I0049]
02458170000140,MUNICIPIO DE BERTOLINIA - SECRETARIA DE SAUDE,30,MUNICIPIO DE BERTOLINIA  [I0050]
02466144000163,SECRETARIA DA SAUDE DO ESTADO DA BAHIA SESAB,5,SECRETARIA DA SAUDE DO E [I0051]
02493318000187,CONSORCIO INTERMUNICIPAL DO MEDIO ALTO URUGUAI,1887,CONSORCIO INTERMUNICIPAL [I0052]
02529964000157,SECRETARIA DE ESTADO DA SAUDE,419,SECRETARIA DE ESTADO DA  [I0053]
02545932000145,MUNICIPIO DE ARRAIAL - SECRETARIA DE SAUDE E SANEAMENTO,465,MUNICIPIO DE ARRAIAL - S [I0054]
02703617000107,MUNICIPIO DE CAMPINAS DO PIAUI - SECRETARIA DE SAUDE,450,MUNICIPIO DE CAMPINAS DO [I0055]
