produto,produto_nome,ocorrencias,rotulo
"209754 | LAMPARINA USO ODONTOLÓGICO, MATERIAL:AÇO INOXIDÁVEL, TIPO COMBUSTÍVEL:ÁLCOOL, CARACTERÍSTICAS ADICIONAIS:COM TAMPA, TAMANHO:GRANDE","209754 | LAMPARINA USO ODONTOLÓGICO, MATERIAL:AÇO INOXIDÁVEL, TIPO COMBUSTÍVEL:ÁLCOOL, CARACTERÍSTICAS ADICIONAIS:COM TAMPA, TAMANHO:GRANDE",6,"209754 | LAMPARINA USO ODONTOLÓGICO, MATERIAL:AÇO INOXI [P0001]"
"209756 | LAMPARINA USO ODONTOLÓGICO, MATERIAL:AÇO INOXIDÁVEL, TIPO COMBUSTÍVEL:ÁLCOOL, CARACTERÍSTICAS ADICIONAIS:COM TAMPA, TAMANHO:PEQUENO","209756 | LAMPARINA USO ODONTOLÓGICO, MATERIAL:AÇO INOXIDÁVEL, TIPO COMBUSTÍVEL:ÁLCOOL, CARACTERÍSTICAS ADICIONAIS:COM TAMPA, TAMANHO:PEQUENO",5,"209756 | LAMPARINA USO ODONTOLÓGICO, MATERIAL:AÇO INOXI [P0002]"
"209766 | LUVA DESCARTÁVEL, MATERIAL:PLÁSTICO, APLICAÇÃO:MULTIUSO, ESTERILIDADE:NÃO ESTERILIZADA, TAMANHO:ÚNICO, APRESENTAÇÃO:TRANSPARENTE","209766 | LUVA DESCARTÁVEL, MATERIAL:PLÁSTICO, APLICAÇÃO:MULTIUSO, ESTERILIDADE:NÃO ESTERILIZADA, TAMANHO:ÚNICO, APRESENTAÇÃO:TRANSPARENTE",7,"209766 | LUVA DESCARTÁVEL, MATERIAL:PLÁSTICO, APLICAÇÃO [P0003]"
"211297 | BOMBA SUCÇÃO ODONTOLÓGICA, APLICAÇÃO:SANGUE E SECREÇÃO, TENSÃO:110/220 V, FREQÜÊNCIA:50/60 HZ, TIPO MOTOR:MONOFÁSICO, POTÊNCIA MOTOR:1 HP, CAPACIDADE SUCÇÃO:30 DE HG POL, CAPACIDADE COLETOR:2 LT","211297 | BOMBA SUCÇÃO ODONTOLÓGICA, APLICAÇÃO:SANGUE E SECREÇÃO, TENSÃO:110/220 V, FREQÜÊNCIA:50/60 HZ, TIPO MOTOR:MONOFÁSICO, POTÊNCIA MOTOR:1 HP, CAPACIDADE SUCÇÃO:30 DE HG POL, CAPACIDADE COLETOR:2 LT",1,"211297 | BOMBA SUCÇÃO ODONTOLÓGICA, APLICAÇÃO:SANGUE E  [P0004]"
"211580 | MESA GINECOLÓGICA, ESTRUTURA:MADEIRA, ACABAMENTO SUPERFICIAL ESTRUTURA:LAMINADO DECORATIVO, MATERIAL LEITO:ESTOFADO, ACABAMENTO SUPERFICIAL MATERIAL LEITO:COURVIN, TIPO MOVIMENTO:ANTERIOR, POSTERIOR, CENTRAL E TRENDELEMBURG, ACABAMENTO PÉS:PONTERIA PLÁSTICA, MATERIAL GAVETA ESCOAMENTO LÍQUIDOS:CHAPA AÇO, ACABAMENTO SUPERFICIAL GAVETA ESCOAMENTO:INOXIDÁVEL, CARACTERÍSTICAS ADICIONAIS:3 GAVETAS E 2 PORTAS LATERAIS, MATERIAL PORTA-COXA:ESTOFADO, REVESTIMENTO PORTA-COXA:COURVIN, ACABAMENTO SUPERFICIAL PORTA-COXA:CROMADO","211580 | MESA GINECOLÓGICA, ESTRUTURA:MADEIRA, ACABAMENTO SUPERFICIAL ESTRUTURA:LAMINADO DECORATIVO, MATERIAL LEITO:ESTOFADO, ACABAMENTO SUPERFICIAL MATERIAL LEITO:COURVIN, TIPO MOVIMENTO:ANTERIOR, POSTERIOR, CENTRAL E TRENDELEMBURG, ACABAMENTO PÉS:PONTERIA PLÁSTICA, MATERIAL GAVETA ESCOAMENTO LÍQUIDOS:CHAPA AÇO, ACABAMENTO SUPERFICIAL GAVETA ESCOAMENTO:INOXIDÁVEL, CARACTERÍSTICAS ADICIONAIS:3 GAVETAS E 2 PORTAS LATERAIS, MATERIAL PORTA-COXA:ESTOFADO, REVESTIMENTO PORTA-COXA:COURVIN, ACABAMENTO SUPERFICIAL PORTA-COXA:CROMADO",2,"211580 | MESA GINECOLÓGICA, ESTRUTURA:MADEIRA, ACABAMEN [P0005]"
"212689 | COLUNA OFTAMOLÓGICA PANTOGRÁFICA, MATERIAL GABINETE:METÁLICO, MATERIAL BASE SUSTENTAÇÃO:FERRO, TIPO LUMINÁRIA:DIRECIONAL ARTICULADA COM BRAÇO PANTOGRÁFICO, PAINEL CONTROLE:SUBIDA / DESCIDA CADEIRA, TENSÃO ALIMENTAÇÃO:110/220 V, CARACTERÍSTICAS ADICIONAIS:2 BANDEJAS AUXILIARES","212689 | COLUNA OFTAMOLÓGICA PANTOGRÁFICA, MATERIAL GABINETE:METÁLICO, MATERIAL BASE SUSTENTAÇÃO:FERRO, TIPO LUMINÁRIA:DIRECIONAL ARTICULADA COM BRAÇO PANTOGRÁFICO, PAINEL CONTROLE:SUBIDA / DESCIDA CADEIRA, TENSÃO ALIMENTAÇÃO:110/220 V, CARACTERÍSTICAS ADICIONAIS:2 BANDEJAS AUXILIARES",1,"212689 | COLUNA OFTAMOLÓGICA PANTOGRÁFICA, MATERIAL GAB [P0006]"
"216980 | CONJUNTO OXIGÊNIO MEDICINAL, ASPECTO FÍSICO:INCOLOR, ODOR:INODORO, GRAU PUREZA:99,60 A 100 PER, TIPO ACONDICIONAMENTO:CILINDRO PORTÁTIL, TOXIDADE:ATÓXICO PEQUENAS QUANTIDADES, APLICAÇÃO:OXIGENOTERAPIA","216980 | CONJUNTO OXIGÊNIO MEDICINAL, ASPECTO FÍSICO:INCOLOR, ODOR:INODORO, GRAU PUREZA:99,60 A 100 PER, TIPO ACONDICIONAMENTO:CILINDRO PORTÁTIL, TOXIDADE:ATÓXICO PEQUENAS QUANTIDADES, APLICAÇÃO:OXIGENOTERAPIA",2,"216980 | CONJUNTO OXIGÊNIO MEDICINAL, ASPECTO FÍSICO:IN [P0007]"
"216981 | CONJUNTO OXIGÊNIO MEDICINAL, ASPECTO FÍSICO:INCOLOR, ODOR:INODORO, GRAU PUREZA:99,60 A 100 PER, TIPO ACONDICIONAMENTO:CILINDRO FIXO, TOXIDADE:ATÓXICO PEQUENAS QUANTIDADES, APLICAÇÃO:OXIGENOTERAPIA","216981 | CONJUNTO OXIGÊNIO MEDICINAL, ASPECTO FÍSICO:INCOLOR, ODOR:INODORO, GRAU PUREZA:99,60 A 100 PER, TIPO ACONDICIONAMENTO:CILINDRO FIXO, TOXIDADE:ATÓXICO PEQUENAS QUANTIDADES, APLICAÇÃO:OXIGENOTERAPIA",1,"216981 | CONJUNTO OXIGÊNIO MEDICINAL, ASPECTO FÍSICO:IN [P0008]"
"226687 | CURATIVO ALGINATO, MATERIAL:ALGINATO CÁLCIO, APRESENTAÇÃO:ENVELOPE, COMPRIMENTO:10 CM, LARGURA:10 CM","226687 | CURATIVO ALGINATO, MATERIAL:ALGINATO CÁLCIO, APRESENTAÇÃO:ENVELOPE, COMPRIMENTO:10 CM, LARGURA:10 CM",11,"226687 | CURATIVO ALGINATO, MATERIAL:ALGINATO CÁLCIO, A [P0009]"
"229104 | PASTA ODONTOLÓGICA, ASPECTO FÍSICO:PASTOSO, COMPOSIÇÃO:BORO E FLÚOR, COR:BRANCA, PRINCÍPIO ATIVO:ÁCIDO, APLICAÇÃO:SOLDA PRATA","229104 | PASTA ODONTOLÓGICA, ASPECTO FÍSICO:PASTOSO, COMPOSIÇÃO:BORO E FLÚOR, COR:BRANCA, PRINCÍPIO ATIVO:ÁCIDO, APLICAÇÃO:SOLDA PRATA",1,"229104 | PASTA ODONTOLÓGICA, ASPECTO FÍSICO:PASTOSO, CO [P0010]"
