registro_id,id_bps,arquivo_origem,linha_origem,data_compra,data_insercao
2023:23812,15590578,BPS_2023.csv,23812,2023-08-23,2022-01-03
2024:201,15338588,BPS_2024.csv,201,2024-04-19,2023-01-04
2024:541,15364724,BPS_2024.csv,541,2024-06-05,2021-01-04
2024:4143,15387394,BPS_2024.csv,4143,2024-04-19,2023-01-04
2024:4981,15397010,BPS_2024.csv,4981,2024-04-19,2023-01-04
2024:5737,15405420,BPS_2024.csv,5737,2024-04-19,2023-01-04
2024:5738,15405421,BPS_2024.csv,5738,2024-04-19,2023-01-04
2024:6466,15414735,BPS_2024.csv,6466,2024-04-19,2023-01-04
2024:9205,15452490,BPS_2024.csv,9205,2024-06-05,2021-01-04
2024:9937,15457077,BPS_2024.csv,9937,2024-04-19,2023-01-04
2024:9979,15462206,BPS_2024.csv,9979,2024-06-05,2021-01-04
2024:11538,15480075,BPS_2024.csv,11538,2024-06-05,2021-01-04

