registro_id,id_bps,arquivo_origem,linha_origem,codigo_catmat,unidade_apresentacao,instituicao_id,data_compra,preco_total
2023:4550,15382181,BPS_2023.csv,4550,267676,COMPRIMIDO,11490142000109,2023-05-22,23000.0
2023:4551,15382182,BPS_2023.csv,4551,267676,COMPRIMIDO,11490142000109,2023-05-22,23000.0
2023:4553,15382191,BPS_2023.csv,4553,273467,"FRASCO 100,00 ML",11490142000109,2023-05-22,9800.0
2023:4554,15382192,BPS_2023.csv,4554,273467,"FRASCO 100,00 ML",11490142000109,2023-05-22,9800.0
2023:4555,15382193,BPS_2023.csv,4555,273467,"FRASCO 100,00 ML",11490142000109,2023-05-22,9800.0
2023:4556,15382194,BPS_2023.csv,4556,273467,"FRASCO 100,00 ML",11490142000109,2023-05-22,9800.0
2023:4643,15383143,BPS_2023.csv,4643,267195,COMPRIMIDO,11490142000109,2023-05-22,720.0
2023:4644,15383144,BPS_2023.csv,4644,267195,COMPRIMIDO,11490142000109,2023-05-22,720.0
2023:4662,15383406,BPS_2023.csv,4662,387142,UNIDADE,11490142000109,2023-05-22,2672.7
2023:4663,15383409,BPS_2023.csv,4663,387142,UNIDADE,11490142000109,2023-05-22,2672.7
2023:9164,15430378,BPS_2023.csv,9164,363597,"FRASCO 60,00 ML",11490142000109,2023-05-22,1845.0
2023:9165,15430381,BPS_2023.csv,9165,363597,"FRASCO 60,00 ML",11490142000109,2023-05-22,1845.0
2023:10716,15447055,BPS_2023.csv,10716,268498,"BOLSA 100,00 ML",11490142000109,2023-05-22,2000.0
2023:10717,15447056,BPS_2023.csv,10717,268498,"BOLSA 100,00 ML",11490142000109,2023-05-22,2000.0
2023:13397,15474753,BPS_2023.csv,13397,268069,"AMPOLA 5,00 ML",11490142000109,2023-05-22,131.5
2023:13398,15474754,BPS_2023.csv,13398,268069,"AMPOLA 5,00 ML",11490142000109,2023-05-22,131.5
2023:14202,15482861,BPS_2023.csv,14202,270019,"AMPOLA 10,00 ML",11490142000109,2023-05-22,370.0
2023:14206,15482883,BPS_2023.csv,14206,268115,"AMPOLA 1,00 ML",11490142000109,2023-05-22,2800.0
2023:14207,15482885,BPS_2023.csv,14207,270019,"AMPOLA 10,00 ML",11490142000109,2023-05-22,370.0
2023:14208,15482887,BPS_2023.csv,14208,268115,"AMPOLA 1,00 ML",11490142000109,2023-05-22,2800.0
2023:15848,15500047,BPS_2023.csv,15848,356602,DRÁGEA,11490142000109,2023-05-22,1250.0
2023:15849,15500048,BPS_2023.csv,15849,356602,DRÁGEA,11490142000109,2023-05-22,1250.0
2023:15850,15500049,BPS_2023.csv,15850,356602,DRÁGEA,11490142000109,2023-05-22,1250.0
2023:16735,15508931,BPS_2023.csv,16735,448845,"AMPOLA 2,00 ML",11490142000109,2023-05-22,6800.0
2023:16736,15508932,BPS_2023.csv,16736,448845,"AMPOLA 2,00 ML",11490142000109,2023-05-22,6800.0
2023:17431,15516251,BPS_2023.csv,17431,233632,"FRASCO 100,00 ML",84744853000128,2023-10-31,9000.0
2023:17432,15516252,BPS_2023.csv,17432,233632,"FRASCO 100,00 ML",84744853000128,2023-10-31,9000.0
2024:2668,15380689,BPS_2024.csv,2668,432741,"FRASCO 10,00 ML",76416866000140,2024-07-23,14070.24
2024:2706,15380750,BPS_2024.csv,2706,432741,"FRASCO 10,00 ML",76416866000140,2024-07-23,14070.24
2024:4312,15393041,BPS_2024.csv,4312,273314,"AMPOLA 2,00 ML",76416866000140,2024-07-22,2356.0
2024:4313,15393045,BPS_2024.csv,4313,273314,"AMPOLA 2,00 ML",76416866000140,2024-07-22,2356.0
2024:5353,15403708,BPS_2024.csv,5353,436612,"FRASCO 15,00 ML",46634200000105,2024-07-31,36000.0
2024:5357,15403714,BPS_2024.csv,5357,436612,"FRASCO 15,00 ML",46634200000105,2024-07-31,36000.0
2024:6682,15420761,BPS_2024.csv,6682,449187,ENVELOPE,76416866000140,2024-07-18,1652.4
2024:6684,15420763,BPS_2024.csv,6684,449187,ENVELOPE,76416866000140,2024-07-18,1652.4
2024:9590,15455451,BPS_2024.csv,9590,432449,COMPRIMIDO,76416866000140,2024-07-23,45302.4
2024:9591,15455452,BPS_2024.csv,9591,432449,COMPRIMIDO,76416866000140,2024-07-23,114998.4
2024:9598,15455464,BPS_2024.csv,9598,432449,COMPRIMIDO,76416866000140,2024-07-23,45302.4
2024:9614,15455495,BPS_2024.csv,9614,432449,COMPRIMIDO,76416866000140,2024-07-23,114998.4
2024:12486,15491146,BPS_2024.csv,12486,432367,"FRASCO 10,00 ML",76416866000140,2024-07-23,10426.32
